Codice,Versione Sigma,Disciplina,Nome,Link
,Nuovo,,Salto in lungo Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara428.html
,Nuovo,,Salto in alto Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara526.html
,Nuovo,,Salto in lungo Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara528.html
,Nuovo,,Salto in alto Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara626.html
,Nuovo,,Salto in lungo Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara628.html
,Nuovo,,Salto in alto Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara726.html
,Nuovo,,Salto in lungo Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara728.html
,Nuovo,,Salto in alto Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara826.html
,Nuovo,,Salto in lungo Ragazzi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara828.html
,Nuovo,,Salto in alto Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara926.html
,Nuovo,,Salto in lungo Ragazze,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara928.html
,Nuovo,,Salto in lungo Eso M10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE03.html
,Nuovo,,Salto in lungo Eso F10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE13.html
,Nuovo,,Salto in lungo Eso M8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE23.html
,Nuovo,,Salto in lungo Eso F8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE33.html
,Nuovo,,Salto in lungo Eso M5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE43.html
,Nuovo,,Salto in lungo Eso F5,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraE53.html
,Nuovo,,Salto in lungo Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ01.html
,Nuovo,,Salto in lungo Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ02.html
,Nuovo,,Salto in alto Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ07.html
,Nuovo,,Salto in alto Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ12.html
,Nuovo,,Salto in lungo Eso F5-8,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ16.html
,Nuovo,,Salto in lungo Eso M5-8-10,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ17.html
,Nuovo,,Salto in alto Allievi + Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ21.html
,Nuovo,,Peso kg 7.260 Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara030.html
,Nuovo,,Peso kg 7.260 Master Uomini 35-45,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara031.html
,Nuovo,,Peso kg 6 Master Uomini 50-55,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara032.html
,Nuovo,,Peso kg 5 Master Uomini 60-65,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara033.html
,Nuovo,,Peso kg 4 Master Uomini 70-75,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara034.html
,Nuovo,,Peso kg 4 Adulti Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara130.html
,Nuovo,,Peso kg 4 Master Donne 35-45,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara131.html
,Nuovo,,Peso kg 3 Master Donne 50-70,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara132.html
,Nuovo,,Peso kg 4 Juniores Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara331.html
,Nuovo,,Peso kg 5 Allievi,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara431.html
,Nuovo,,Peso kg 3 Allieve,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara531.html
,Nuovo,,Peso kg 4 Cadetti,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara631.html
,Nuovo,,Peso kg 3 Cadette,https://www.fidal.it/risultati/2024/REG34144/Risultati/Gara731.html
,Nuovo,,Peso Allievi + Adulti Uomini,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ05.html
,Nuovo,,Peso Allieve + Juniores + Adulte Donne,https://www.fidal.it/risultati/2024/REG34144/Risultati/GaraZ06.html
,Nuovo,,60m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara001.html
,Nuovo,,200m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara004.html
,Nuovo,,400m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara006.html
,Nuovo,,800m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara008.html
,Nuovo,,1500m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara011.html
,Nuovo,,3000m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara013.html
,Nuovo,,Marcia 3000m Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara043.html
,Nuovo,,Staffetta 4x200 Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara060.html
,Nuovo,,60m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara101.html
,Nuovo,,200m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara104.html
,Nuovo,,400m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara106.html
,Nuovo,,800m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara108.html
,Nuovo,,1500m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara111.html
,Nuovo,,3000m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara113.html
,Nuovo,,Marcia 3000m Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara143.html
,Nuovo,,Staffetta 4x200 Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara160.html
,Nuovo,,60m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara201.html
,Nuovo,,200m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara204.html
,Nuovo,,400m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara206.html
,Nuovo,,800m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara208.html
,Nuovo,,1500m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara211.html
,Nuovo,,3000m Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara213.html
,Nuovo,,60m Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara301.html
,Nuovo,,200m Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara304.html
,Nuovo,,400m Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara306.html
,Nuovo,,800m Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara308.html
,Nuovo,,1500m Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara311.html
,Nuovo,,60m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara401.html
,Nuovo,,200m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara404.html
,Nuovo,,400m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara406.html
,Nuovo,,800m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara408.html
,Nuovo,,1500m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara411.html
,Nuovo,,3000m Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara413.html
,Nuovo,,Staffetta 4x200 Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara460.html
,Nuovo,,60m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara501.html
,Nuovo,,200m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara504.html
,Nuovo,,400m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara506.html
,Nuovo,,800m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara508.html
,Nuovo,,1500m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara511.html
,Nuovo,,Marcia 3000m Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara543.html
,Nuovo,,Staffetta 4x200 Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara560.html
,Nuovo,,60m Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara601.html
,Nuovo,,300m Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara605.html
,Nuovo,,600m Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara607.html
,Nuovo,,Marcia 3000m Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara643.html
,Nuovo,,Staffetta 4x200 Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara660.html
,Nuovo,,60m Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara701.html
,Nuovo,,300m Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara705.html
,Nuovo,,600m Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara707.html
,Nuovo,,Marcia 3000m Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara743.html
,Nuovo,,Staffetta 4x200 Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara760.html
,Nuovo,,60m Ragazzi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara801.html
,Nuovo,,600m Ragazzi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara807.html
,Nuovo,,Staffetta 4x200 Ragazzi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara860.html
,Nuovo,,60m Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara901.html
,Nuovo,,600m Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara907.html
,Nuovo,,Marcia 2000m Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara942.html
,Nuovo,,Staffetta 4x200 Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara960.html
,Nuovo,,60m Eso M10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE01.html
,Nuovo,,200m Eso M10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE02.html
,Nuovo,,60m Eso F10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE11.html
,Nuovo,,200m Eso F10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE12.html
,Nuovo,,60m Eso M8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE21.html
,Nuovo,,200m Eso M8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE22.html
,Nuovo,,60m Eso F8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE31.html
,Nuovo,,200m Eso F8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE32.html
,Nuovo,,60m Eso M5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE41.html
,Nuovo,,200m Eso M5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE42.html
,Nuovo,,60m Eso F5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE51.html
,Nuovo,,200m Eso F5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE52.html
,Nuovo,,1500m Adulti Donne + Juniores Donne + Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ03.html
,Nuovo,,1500m Juniores Uomini + Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ04.html
,Nuovo,,800m Juniores Uomini + Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ08.html
,Nuovo,,800m Adulti Donne + Juniores Donne + Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ09.html
,Nuovo,,Staffetta 4x200 Adulti + Juniores +Allievi Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ10.html
,Nuovo,,Staffetta 4x200 Adulti + Juniores +Allievi Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ11.html
,Nuovo,,3000m Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ13.html
,Nuovo,,Marcia 3000m Cadetti + Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ14.html
,Nuovo,,Marcia 3 Km Adulti Uomini + Adulti Donne + Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ15.html
,Nuovo,,200m Eso F5-8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ18.html
,Nuovo,,200m Eso M5-8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ19.html
,Nuovo,,60m Eso F5+M5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ20.html
,Nuovo,,400m Juniores Donne + Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ22.html
,Nuovo,,Salto in alto Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara026.html
,Nuovo,,Salto in lungo Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara028.html
,Nuovo,,Salto in alto Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara126.html
,Nuovo,,Salto in lungo Adulti Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara128.html
,Nuovo,,Salto in alto Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara226.html
,Nuovo,,Salto in lungo Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara228.html
,Nuovo,,Salto in alto Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara326.html
,Nuovo,,Salto in lungo Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara328.html
,Nuovo,,Salto in alto Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara426.html
,Nuovo,,Salto in lungo Allievi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara428.html
,Nuovo,,Salto in alto Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara526.html
,Nuovo,,Salto in lungo Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara528.html
,Nuovo,,Salto in alto Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara626.html
,Nuovo,,Salto in lungo Cadetti,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara628.html
,Nuovo,,Salto in alto Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara726.html
,Nuovo,,Salto in lungo Cadette,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara728.html
,Nuovo,,Salto in alto Ragazzi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara826.html
,Nuovo,,Salto in lungo Ragazzi,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara828.html
,Nuovo,,Salto in alto Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara926.html
,Nuovo,,Salto in lungo Ragazze,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara928.html
,Nuovo,,Salto in lungo Eso M10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE03.html
,Nuovo,,Salto in lungo Eso F10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE13.html
,Nuovo,,Salto in lungo Eso M8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE23.html
,Nuovo,,Salto in lungo Eso F8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE33.html
,Nuovo,,Salto in lungo Eso M5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE43.html
,Nuovo,,Salto in lungo Eso F5,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraE53.html
,Nuovo,,Salto in lungo Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ01.html
,Nuovo,,Salto in lungo Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ02.html
,Nuovo,,Salto in alto Adulti Donne + Juniores Donne,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ07.html
,Nuovo,,Salto in alto Adulti Uomini + Juniores Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ12.html
,Nuovo,,Salto in lungo Eso F5-8,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ16.html
,Nuovo,,Salto in lungo Eso M5-8-10,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ17.html
,Nuovo,,Salto in alto Allievi + Allieve,https://www.fidal.it/risultati/2024/COD11716/Risultati/GaraZ21.html
,Nuovo,,Peso kg 7.260 Adulti Uomini,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara030.html
,Nuovo,,Peso kg 7.260 Master Uomini 35-45,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara031.html
,Nuovo,,Peso kg 6 Master Uomini 50-55,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara032.html
,Nuovo,,Peso kg 5 Master Uomini 60-65,https://www.fidal.it/risultati/2024/COD11716/Risultati/Gara033.html
