Codice,Versione Sigma,Warning,Disciplina,Nome,Link
REG15972,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara001.htm
REG15972,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara006.htm
REG15972,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara009.htm
REG15972,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara101.htm
REG15972,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara106.htm
REG15972,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara109.htm
REG15972,Vecchio,,60 Hs h91,60 Hs H 91-9.14 PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara501.htm
REG15972,Vecchio,,1000m,1000 metri PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara505.htm
REG15972,Vecchio,,60m,60 piani UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara001.htm
REG15972,Vecchio,,400m,400 metri UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara006.htm
REG15972,Vecchio,,1000m,1000 metri UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara009.htm
REG15972,Vecchio,,60m,60 piani DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara101.htm
REG15972,Vecchio,,400m,400 metri DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara106.htm
REG15972,Vecchio,,1000m,1000 metri DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara109.htm
REG15972,Vecchio,,60 Hs h91,60 Hs H 91-9.14 PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara501.htm
REG15972,Vecchio,,1000m,1000 metri PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara505.htm
REG15972,Vecchio,,Salto in alto,Salto in alto/HJ UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara026.htm
REG15972,Vecchio,,Salto in lungo,Salto in lungo/LJ UOMINI,https://www.fidal.it/risultati/2018/REG15972/Gara028.htm
REG15972,Vecchio,,Salto in alto,Salto triplo/TJ DONNE,https://www.fidal.it/risultati/2018/REG15972/Gara129.htm
REG15972,Vecchio,,Salto in lungo,Salto in lungo/LJ PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara502.htm
REG15972,Vecchio,,Salto in alto,Salto in alto/HJ PENTATHLON INDOOR AM,https://www.fidal.it/risultati/2018/REG15972/Gara504.htm
REG15976,Vecchio,,200m,200 metri UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara004.htm
REG15976,Vecchio,,800m,800 metri UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara008.htm
REG15976,Vecchio,,60 Hs h106,60 Hs H 106 UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara020.htm
REG15976,Vecchio,,60 Hs h100,60 Hs H 100 JUNIORES UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara021.htm
REG15976,Vecchio,,60 Hs h91,60 Hs H 91-9.14 ALLIEVI,https://www.fidal.it/risultati/2018/REG15976/Gara022.htm
REG15976,Vecchio,,200m,200 metri DONNE,https://www.fidal.it/risultati/2018/REG15976/Gara104.htm
REG15976,Vecchio,,800m,800 metri DONNE,https://www.fidal.it/risultati/2018/REG15976/Gara108.htm
REG15976,Vecchio,,60 Hs h84,60 Hs H 84-8.50 DONNE,https://www.fidal.it/risultati/2018/REG15976/Gara120.htm
REG15976,Vecchio,,60 Hs h76,60 Hs H 76-8.50 ALLIEVE,https://www.fidal.it/risultati/2018/REG15976/Gara121.htm
REG15976,Vecchio,,60m,60 piani EPTATHLON UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara201.htm
REG15976,Vecchio,,60 Hs h106,60 Hs H 106 EPTATHLON UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara205.htm
REG15976,Vecchio,,1000m,1000 metri EPTATHLON UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara207.htm
REG15976,Vecchio,,60m,60 piani EPTATHLON JUNIORES UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara301.htm
REG15976,Vecchio,,60 Hs h100,60 Hs H 100 EPTATHLON JUNIORES UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara305.htm
REG15976,Vecchio,,1000m,1000 metri EPTATHLON JUNIORES UOMINI,https://www.fidal.it/risultati/2018/REG15976/Gara307.htm
REG15976,Vecchio,,60 Hs h84,60 Hs H 84-8.50 PENTATHLON DONNE,https://www.fidal.it/risultati/2018/REG15976/Gara401.htm
REG15976,Vecchio,,800m,800 metri PENTATHLON DONNE,https://www.fidal.it/risultati/2018/REG15976/Gara405.htm
REG15976,Vecchio,,60 Hs h76,60 Hs H 76-8.50 PENTATHLON ALLIEVE,https://www.fidal.it/risultati/2018/REG15976/Gara501.htm
