P.L. SM80-SM99
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
2993,,DI STEFANO Giuseppe,41,A.S. DIL. PUNTESE S.G LA PUNTA,1 su- 1,Villafranca Tirrena,18/03/2023
2585,,BIANCO Romano graziano,42,ATL. AMBROSIANA,2 su- 1,Mariano Comense,15/04/2023
2560,,CAPPELLA Vincenzo,42,S.E.F. MACERATA,3 su- 1,Mariano Comense,15/04/2023
2558,,AMMENDOLA Giuseppe,42,ATLETICA OLYMPUS,4 su- 1,Mariano Comense,15/04/2023
2508,,SOFIA Alberto,41,CUS BARI,5 su- 1,Mariano Comense,15/04/2023
2499,,MICCOLI Giuseppe,37,ATLETICA FANO TECHFEM,6 su- 1,Mariano Comense,15/04/2023
2316,,INTELLIGENTE Vincenzo,43,DAINI CARATE BRIANZA,7 su- 1,Mariano Comense,15/04/2023
,(10)/2023
2242,,FERRIGATO Francesco,40,ATL.VICENTINA,8 su- 1,Mariano Comense,15/04/2023
1904,,AMMENDOLA Giuseppe,42,ATLETICA OLYMPUS,1 su- 1,Aosta,18/03/2023
1661,,LOTTI Daniele,37,ATL.BORGO A BUGGIANO,9 su- 1,Mariano Comense,15/04/2023
