Salto triplo/TJ
Tempo,Vento,Atleta,Età,Società,Posizione,Luogo,Data
15.79,+0.8,TOSTI Gabriele,01,BERGAMO STARS ATLETICA,2 su- 1,Nacogdoches,13/05/2023
15.78,+0.6,BRUNO Federico lorenzo,03,ATHLETIC CLUB 96 ALPERIA,3 su- 1,Firenze,07/05/2023
,(20)/2023
15.74,-1.4,DIAZ HERNANDEZ Andy,95,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,Bergamo,10/06/2023
15.73,+0.4,BRUNO Federico lorenzo,03,ATHLETIC CLUB 96 ALPERIA,1 su- 1,Bolzano/bozen,13/05/2023
15.73,-0.2,CONTALDO Simone,96,ATLETICA FIRENZE MARATHON S.S.,1 su- 1,Palermo,10/06/2023
15.66,-1.5,BRUNO Federico lorenzo,03,ATHLETIC CLUB 96 ALPERIA,2 su- 1,Palermo,10/06/2023
15.62,+2.0,RAGAZZI Daniele,94,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Pietrasanta,10/06/2023
15.58,+1.7,TOSTI Gabriele,01,BERGAMO STARS ATLETICA,1 su- 1,Vittorio Veneto,10/06/2023
15.50,+1.2,TOSTI Gabriele,01,BERGAMO STARS ATLETICA,3 su- 1,Agropoli,17/06/2023
15.44,-0.5,FABBRI Alex,03,A.S.D. PONTEVECCHIO BOLOGNA,4 su- 1,Firenze,07/05/2023
15.44,+1.3,MONTANARI Enrico,01,A.S. LA FRATELLANZA 1874,3 su- 1,Palermo,10/06/2023
15.38,+0.0,GIULIANI Emanuele,97,U.S. QUERCIA,2 su- 1,Bergamo,10/06/2023
,(30)/2023
15.37,+0.5,REFFO Tommaso,01,ATL. VIRTUS CASTENEDOLO,4 su- 1,Agropoli,17/06/2023
15.34,+1.9,GIULIANI Emanuele,97,U.S. QUERCIA,2 su- 1,Bolzano/bozen,13/05/2023
15.33,-0.6,FABBRI Alex,03,A.S.D. PONTEVECCHIO BOLOGNA,1 su- 1,Bologna,28/05/2023
15.32,+0.3,RAGAZZI Daniele,94,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Modena,20/05/2023
15.28,+1.2,GIULIANI Emanuele,97,U.S. QUERCIA,1 su- 1,Rovereto,16/04/2023
15.28,-1.9,MONTANARI Enrico,01,A.S. LA FRATELLANZA 1874,1 se- 3,Modena,13/05/2023
15.24,+1.4,ROMANO Matteo,00,ATL. RICCARDI MILANO 1946,1 se- 2,Saronno,13/05/2023
15.24,-2.5,FABBRI Alex,03,A.S.D. PONTEVECCHIO BOLOGNA,2 se- 3,Modena,13/05/2023
15.23,+0.1,GIULIANI Emanuele,97,U.S. QUERCIA,5 su- 1,Firenze,07/05/2023
15.23,+1.1,RAGAZZI Daniele,94,S.E.F. VIRTUS EMILSIDER BO,1 su- 1,Castelfranco Emilia,28/06/2023
,(40)/2023
15.21,+0.0,MORSELETTO Federico,03,ATL.STUD. RIETI ANDREA MILARDI,1 su- 1,Rieti,28/06/2023
15.19,+1.2,MAGNINI Stefano,88,VARESE ATLETICA A.S.D.,2 su- 1,Vittorio Veneto,10/06/2023
15.18,+0.0,FEDEL Simone,00,U.S. QUERCIA,7 su- 1,Long Beach,15/04/2023
15.18,-0.2,MAGNINI Stefano,88,VARESE ATLETICA A.S.D.,2 se- 2,Saronno,13/05/2023
15.17,+1.7,BRUNO OKUNBOR Kelvy,04,ATL. VIRTUS CASTENEDOLO,3 se- 2,Saronno,13/05/2023
15.11,+0.0,DZENITIS Sandis,01,ASD ARCA ATL.AVERSA A.AVERSANO,1 su- 1,Tartu,19/05/2023
15.09,+1.0,EGHIANRUWA Marvellous osarhue,01,ASSINDUSTRIA SPORT,1 se- 2,Padova,13/05/2023
15.09,+0.4,EGHIANRUWA Marvellous osarhue,01,ASSINDUSTRIA SPORT,1 su- 1,Caorle,28/05/2023
15.09,+0.0,PANARA Giulio,97,PRO SESTO ATL. CERNUSCO,4 su- 1,Palermo,10/06/2023
15.07,-0.4,D'AMORE Leandro andrea,05,FIAMME GIALLE G. SIMONI,1 su- 1,Latina,30/06/2023
,(50)/2023
15.03,-0.1,EGHIANRUWA Marvellous osarhue,01,ASSINDUSTRIA SPORT,5 su- 1,Agropoli,17/06/2023
15.02,+1.6,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,2 su- 1,Latina,30/06/2023
15.00,+0.9,REFFO Tommaso,01,ATL. VIRTUS CASTENEDOLO,6 su- 1,Firenze,07/05/2023
15.00,-0.2,REFFO Tommaso,01,ATL. VIRTUS CASTENEDOLO,1 su- 1,Fabriano,24/06/2023
15.00,+0.7,ROCCHI Aldo,06,A.S.D. ATLETICA FUTURA ROMA,1 se- 2,Caorle,25/06/2023
14.96,-0.0,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,1 su- 1,Latina,01/04/2023
14.96,+0.4,CIMARELLI Matteo,03,ASSINDUSTRIA SPORT,6 su- 1,Agropoli,17/06/2023
14.95,-0.3,EGHIANRUWA Marvellous osarhue,01,ASSINDUSTRIA SPORT,3 su- 1,Bergamo,10/06/2023
14.95,-1.1,DZENITIS Sandis,01,ASD ARCA ATL.AVERSA A.AVERSANO,4 su- 1,Bergamo,10/06/2023
14.93,+2.9,BISCARINI Tommaso,02,ASS.ATL.LIBERTAS ORVIETO,7 su- 1,Agropoli,17/06/2023
,(60)/2023
14.92,+0.0,ROMANO Matteo,00,ATL. RICCARDI MILANO 1946,1 su- 1,Salerno,29/04/2023
14.91,-0.4,ROCCHI Aldo,06,A.S.D. ATLETICA FUTURA ROMA,7 su- 1,Firenze,07/05/2023
14.91,+1.5,D'AMORE Leandro andrea,05,FIAMME GIALLE G. SIMONI,1 su- 1,Tivoli,03/06/2023
14.89,+0.0,REFFO Tommaso,01,ATL. VIRTUS CASTENEDOLO,1 su- 1,Brescia,21/05/2023
14.88,-1.2,GRECO Daniele,89,ADEN EXPRIVIA DAI OPTICAL MOLF,1 su- 1,Molfetta,13/05/2023
14.88,+0.6,DE ANGELIS Valerio,00,ASA ASCOLI PICENO,1 su- 1,Fabriano,20/05/2023
14.87,+0.1,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,1 se- 2,Tivoli,13/05/2023
14.87,+1.4,MARTINELLI Rocco,06,ATL. BERGAMO 1959 ORIOCENTER,2 se- 2,Caorle,25/06/2023
14.86,+0.5,NODARI Davide,03,BERGAMO STARS ATLETICA,8 su- 1,Agropoli,17/06/2023
14.85,+2.6,BRUNELLO Mattia,00,TREVISATLETICA,2 se- 2,Padova,13/05/2023
,(70)/2023
14.85,+1.2,CROTTI Francesco efeosa,07,CUS PRO PATRIA MILANO,3 se- 2,Caorle,25/06/2023
14.84,+1.5,REFFO Tommaso,01,ATL. VIRTUS CASTENEDOLO,4 se- 2,Saronno,13/05/2023
14.83,-0.1,GAILITIS Aleksis,06,RUNNING CLUB NAPOLI,1 su- 1,Saldus,27/05/2023
14.83,+2.8,PAGLIANO Manuele,04,G.S. AVIS BARLETTA A.S.D.,1 su- 1,Bari,17/06/2023
14.82,-0.3,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,8 su- 1,Firenze,07/05/2023
14.81,+0.5,CALOGIURI Matteo,04,USD ELITE GIOVANI ATLETI,1 su- 1,Bari,06/05/2023
14.80,+0.5,BRUNELLO Mattia,00,TREVISATLETICA,2 su- 1,Pietrasanta,10/06/2023
14.80,+3.4,CAREDDA Paolo,97,S G AMSICORA,1 su- 1,Cagliari,17/06/2023
14.78,+0.4,CALOGIURI Matteo,04,USD ELITE GIOVANI ATLETI,1 se- 1,Lecce,19/03/2023
14.78,+0.9,DE ANGELIS Mattia,05,ASA ASCOLI PICENO,1 su- 1,Macerata,01/07/2023
,(80)/2023
14.78,-0.4,BRUNO OKUNBOR Kelvy,04,ATL. VIRTUS CASTENEDOLO,1 su- 1,Rodengo Saiano,04/07/2023
14.77,+0.1,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,2 su- 1,Minturno,27/05/2023
14.77,-0.6,BISCARINI Tommaso,02,ASS.ATL.LIBERTAS ORVIETO,2 su- 1,Fabriano,24/06/2023
14.76,-1.5,SIANO Emmanuel simon koku,99,SSD NISSOLINO SPORT SRL ASU,5 su- 1,Bergamo,10/06/2023
14.76,+1.6,BISCARINI Tommaso,02,ASS.ATL.LIBERTAS ORVIETO,7 su- 1,Agropoli,17/06/2023
14.75,+1.6,CAFFIER Francois christophe,01,ASSINDUSTRIA SPORT,3 se- 2,Padova,13/05/2023
14.74,+2.5,DI GREGORIO Alessandro,03,ATL. O.S.A. SARONNO LIB.,3 su- 1,Pietrasanta,10/06/2023
14.74,+0.9,GRASSI Sebastiano,00,C.U.S. PARMA,2 su- 1,Castelfranco Emilia,28/06/2023
14.73,+0.2,STOPPONI Alessandro,03,ATL. ROMA ACQUACETOSA,3 su- 1,Latina,30/06/2023
14.72,,DI GREGORIO Alessandro,03,ATL. O.S.A. SARONNO LIB.,4 su- 1,Pittsburg,24/02/2023
,(90)/2023
14.71,-0.3,MAGNINI Stefano,88,VARESE ATLETICA A.S.D.,1 se- 2,Pavia,30/04/2023
14.69,+1.5,BRUNO OKUNBOR Kelvy,04,ATL. VIRTUS CASTENEDOLO,2 se- 2,Pavia,30/04/2023
14.69,-0.7,GAILITIS Aleksis,06,RUNNING CLUB NAPOLI,1 su- 1,MurjÄ€Å…i,19/05/2023
14.67,+0.7,DE ANGELIS Mattia,05,ASA ASCOLI PICENO,2 su- 1,Fabriano,20/05/2023
14.65,-0.3,CROTTI Francesco efeosa,07,CUS PRO PATRIA MILANO,1 su- 1,Bergamo,07/05/2023
14.65,+2.0,BRUNELLO Mattia,00,TREVISATLETICA,2 se- 2,Padova,13/05/2023
14.65,+0.3,APPOLONI Riccardo,93,ATL. INSIEME VERONA,4 se- 2,Padova,13/05/2023
14.64,+1.1,CROTTI Francesco efeosa,07,CUS PRO PATRIA MILANO,5 se- 2,Saronno,13/05/2023
14.64,+0.1,ROMANO Matteo,00,ATL. RICCARDI MILANO 1946,3 su- 1,Minturno,27/05/2023
14.64,+0.3,BABATO Edoardo,05,ATLETICA RIVIERA DEL BRENTA,2 su- 1,Caorle,28/05/2023
,(100)/2023
17.80,+2.6,DIAZ HERNANDEZ Andy,95,ATL.LIBERTAS UNICUSANO LIVORNO,3 su- 1,Doha,05/05/2023
17.75,+0.9,DIAZ HERNANDEZ Andy,95,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,Firenze,02/06/2023
17.47,+2.8,IHEMEJE Chiebuka emmanuel,98,C.S. AERONAUTICA MILITARE,1 su- 1,Walnut,15/04/2023
17.29,+1.9,IHEMEJE Chiebuka emmanuel,98,C.S. AERONAUTICA MILITARE,1 ex- 1,Walnut,15/04/2023
17.26,+1.0,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Castellon,14/06/2023
17.20,+0.2,DIAZ HERNANDEZ Andy,95,ATL.LIBERTAS UNICUSANO LIVORNO,1 su- 1,KoÅ¡ice,08/06/2023
16.85,+1.8,IHEMEJE Chiebuka emmanuel,98,C.S. AERONAUTICA MILITARE,7 su- 1,Doha,05/05/2023
16.84,+0.5,BOCCHI Tobia,97,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Chorzow,23/06/2023
16.69,-0.6,IHEMEJE Chiebuka emmanuel,98,C.S. AERONAUTICA MILITARE,4 su- 1,Firenze,02/06/2023
16.36,-0.4,MONTANARI Enrico,01,A.S. LA FRATELLANZA 1874,1 su- 1,Agropoli,17/06/2023
,(10)/2023
