Prest.,Atleta,Anno,Società,Città,Data
1h09:12,SACCHET Lucio,81,ANA ATL.FELTRE,Udine,17/09/2017
1h10:03,SACCHET Lucio,81,ANA ATL.FELTRE,Jesolo,25/05/2013
1h10:26,SACCHET Lucio,81,ANA ATL.FELTRE,Jesolo,23/05/2015
1h11:14,SACCHET Lucio,81,ANA ATL.FELTRE,Feltre,30/03/2014
1h11:40,SPADA Nicola,85,ANA ATL.FELTRE,Feltre,30/03/2014
1h11:59,DEOLA Ruben iavor,00,ANA ATL.FELTRE,Borgo Valbelluna,19/09/2021
1h14:36,SACCHET Lucio,81,ANA ATL.FELTRE,Jesolo,27/05/2017
1h14:59,SACCHET Lucio,81,ANA ATL.FELTRE,Trieste,05/05/2013
1h16:58,SACCHET Lucio,81,ANA ATL.FELTRE,Lignano,10/06/2017
1h23:04,ZANNINI Simone,76,ANA ATL.FELTRE,Feltre,30/03/2014
1h24:09,FANTINEL Daniele,69,ANA ATL.FELTRE,Feltre,30/03/2014
1h27:22,CASTELLAZ Marco,76,ANA ATL.FELTRE,Feltre,30/03/2014
1h29:11,BEE Marco,68,ANA ATL.FELTRE,Feltre,30/03/2014
1h29:27,ZANELLA Diego,67,ANA ATL.FELTRE,Padova,27/04/2014
1h30:47,TODESCO Arno,65,ANA ATL.FELTRE,Feltre,30/03/2014
1h33:48,PERENZIN Paolo,78,ANA ATL.FELTRE,Breno,10/10/2021
1h39:11,VISPI Piergiorgio,72,ANA ATL.FELTRE,Padova,19/04/2015
1h39:19,POLETTI Massimo,70,ANA ATL.FELTRE,Feltre,30/03/2014
1h42:00,GAIO Elio,73,ANA ATL.FELTRE,Feltre,30/03/2014
1h44:11,BEE Marco,68,ANA ATL.FELTRE,Jesolo,27/05/2017
1h44:24,BEE Marco,68,ANA ATL.FELTRE,Lignano,10/06/2017
1h48:09,NOSIGLIA Alessio,83,ANA ATL.FELTRE,Borgo Valbelluna,19/09/2021
1h50:04,PERER Marco,57,ANA ATL.FELTRE,Jesolo,23/05/2015
1h51:32,PERER Marco,57,ANA ATL.FELTRE,Jesolo,27/05/2017
1h52:02,RASI CALDOGNO Adriano,55,ANA ATL.FELTRE,Jesolo,23/05/2015
